site,year,doy,pdate
722070,1970,61,1970-03-02
722070,1972,61,1972-03-01
722070,1977,61,1977-03-02
722070,1978,75,1978-03-16
722070,1979,61,1979-03-02
722070,1980,64,1980-03-04
722070,1983,61,1983-03-02
722070,1993,63,1993-03-04
722080,1963,66,1963-03-07
722080,1964,65,1964-03-05
722080,1966,61,1966-03-02
722080,1973,63,1973-03-04
722080,1977,64,1977-03-05
722080,1978,79,1978-03-20
722080,1979,63,1979-03-04
722080,1983,64,1983-03-05
722080,1988,61,1988-03-01
722080,1993,65,1993-03-06
722080,2003,61,2003-03-02
722080,2004,64,2004-03-04
722140,1964,63,1964-03-03
722140,1968,69,1968-03-09
722170,1963,69,1963-03-10
722170,1964,69,1964-03-09
722170,1966,71,1966-03-12
722170,1968,78,1968-03-18
722170,1969,80,1969-03-21
722170,1970,61,1970-03-02
722170,1973,63,1973-03-04
722170,1979,63,1979-03-04
722170,1983,62,1983-03-03
722170,1988,62,1988-03-02
722170,1995,61,1995-03-02
722180,1963,70,1963-03-11
722180,1965,61,1965-03-02
722180,1967,67,1967-03-08
722180,1968,78,1968-03-18
722180,1971,65,1971-03-06
722180,1973,65,1973-03-06
722180,1979,64,1979-03-05
722180,1980,70,1980-03-10
722180,1982,65,1982-03-06
722180,1983,64,1983-03-05
722180,1995,65,1995-03-06
722230,1963,63,1963-03-04
722230,2004,61,2004-03-01
722255,1967,65,1967-03-06
722255,1968,77,1968-03-17
722255,1970,63,1970-03-04
722255,1978,75,1978-03-16
722255,1979,63,1979-03-04
722255,1980,65,1980-03-05
722255,1983,62,1983-03-03
722255,1988,61,1988-03-01
722255,1993,69,1993-03-10
722260,1963,69,1963-03-10
722260,1966,63,1966-03-04
722260,1967,63,1967-03-04
722260,1970,63,1970-03-04
722260,1972,61,1972-03-01
722260,1980,64,1980-03-04
722260,1982,64,1982-03-05
722260,1987,64,1987-03-05
722260,1993,67,1993-03-08
722280,1966,71,1966-03-12
722280,1968,78,1968-03-18
722280,1969,82,1969-03-23
722280,1970,66,1970-03-07
722280,1971,65,1971-03-06
722280,1972,69,1972-03-09
722280,1974,61,1974-03-02
722280,1989,64,1989-03-05
722317,1963,61,1963-03-02
722317,1968,70,1968-03-10
722340,1966,63,1966-03-04
722340,1968,73,1968-03-13
722340,1969,74,1969-03-15
722340,1973,62,1973-03-03
722340,1979,66,1979-03-07
722340,1980,65,1980-03-05
722340,1983,64,1983-03-05
722340,1984,64,1984-03-04
722340,1993,65,1993-03-06
722350,1964,68,1964-03-08
722350,1967,65,1967-03-06
722350,1968,76,1968-03-16
722350,1969,76,1969-03-17
722350,1970,62,1970-03-03
722350,1973,62,1973-03-03
722350,1979,65,1979-03-06
722350,1980,65,1980-03-05
722350,1983,63,1983-03-04
722350,1985,62,1985-03-03
722350,1993,64,1993-03-05
722480,1963,64,1963-03-05
722480,1964,69,1964-03-09
722480,1967,64,1967-03-05
722480,1968,75,1968-03-15
722480,1969,78,1969-03-19
722480,1970,61,1970-03-02
722480,1973,62,1973-03-03
722480,1975,61,1975-03-02
722480,1979,62,1979-03-03
722480,1982,64,1982-03-05
722480,1983,62,1983-03-03
722480,1989,63,1989-03-04
722480,1993,65,1993-03-06
722480,2002,67,2002-03-08
722480,2003,68,2003-03-09
722480,2004,65,2004-03-05
722530,1965,61,1965-03-02
722540,1964,65,1964-03-05
722540,1968,69,1968-03-09
722560,1963,62,1963-03-03
722560,1965,70,1965-03-11
722560,1969,71,1969-03-12
722560,1970,62,1970-03-03
722560,1973,65,1973-03-06
722560,1975,68,1975-03-09
722560,1982,62,1982-03-03
722560,1983,62,1983-03-03
722560,1985,61,1985-03-02
722560,1989,70,1989-03-11
722590,1978,80,1978-03-21
722590,1979,71,1979-03-12
722590,1980,65,1980-03-05
722590,1982,68,1982-03-09
722590,1983,62,1983-03-03
722590,1985,62,1985-03-03
722590,1993,67,1993-03-08
722590,1994,61,1994-03-02
722590,2002,66,2002-03-07
722590,2003,70,2003-03-11
722630,1964,66,1964-03-06
722630,1968,70,1968-03-10
722630,1973,63,1973-03-04
722630,1975,65,1975-03-06
722630,1979,63,1979-03-04
722630,1982,61,1982-03-02
722630,1983,61,1983-03-02
722630,1987,63,1987-03-04
722630,1989,67,1989-03-08
722630,1993,62,1993-03-03
722630,1997,64,1997-03-05
722630,1998,62,1998-03-03
722670,1963,70,1963-03-11
722670,1964,84,1964-03-24
722670,1965,87,1965-03-28
722670,1968,87,1968-03-27
722670,1970,69,1970-03-10
722670,1971,71,1971-03-12
722670,1972,63,1972-03-03
722670,1973,78,1973-03-19
722670,1975,78,1975-03-19
722670,1977,69,1977-03-10
722670,1978,81,1978-03-22
722670,1979,72,1979-03-13
722670,1980,68,1980-03-08
722670,1982,63,1982-03-04
722670,1983,72,1983-03-13
722670,1984,73,1984-03-13
722670,1987,75,1987-03-16
722670,1988,70,1988-03-10
722670,1990,65,1990-03-06
722670,1991,63,1991-03-04
722670,1992,64,1992-03-04
722670,1993,75,1993-03-16
722670,1995,64,1995-03-05
722670,1997,73,1997-03-14
722670,1998,84,1998-03-25
723013,1963,70,1963-03-11
723013,1964,68,1964-03-08
723013,1966,63,1966-03-04
723013,1968,79,1968-03-19
723013,1969,82,1969-03-23
723013,1972,68,1972-03-08
723013,1973,65,1973-03-06
723013,1980,76,1980-03-16
723013,1981,64,1981-03-05
723013,1982,62,1982-03-03
723013,1983,67,1983-03-08
723013,1987,74,1987-03-15
723013,1993,69,1993-03-10
723013,1995,70,1995-03-11
723040,1961,65,1961-03-06
723040,1963,72,1963-03-13
723040,1964,70,1964-03-10
723040,1966,78,1966-03-19
723040,1967,70,1967-03-11
723040,1968,87,1968-03-27
723040,1970,85,1970-03-26
723040,1971,62,1971-03-03
723040,1978,86,1978-03-27
723040,1979,82,1979-03-23
723040,1982,71,1982-03-12
723040,1985,67,1985-03-08
723040,1986,70,1986-03-11
723040,1987,89,1987-03-30
723040,1988,69,1988-03-09
723040,1989,62,1989-03-03
723060,1961,64,1961-03-05
723060,1962,83,1962-03-24
723060,1963,78,1963-03-19
723060,1965,86,1965-03-27
723060,1967,70,1967-03-11
723060,1968,82,1968-03-22
723060,1969,95,1969-04-05
723060,1970,95,1970-04-05
723060,1971,75,1971-03-16
723060,1973,72,1973-03-13
723060,1975,82,1975-03-23
723060,1980,85,1980-03-25
723060,1981,72,1981-03-13
723060,1982,72,1982-03-13
723060,1984,76,1984-03-16
723060,1985,71,1985-03-12
723060,1986,73,1986-03-14
723060,1987,86,1987-03-27
723060,1991,63,1991-03-04
723060,1992,67,1992-03-07
723060,1995,76,1995-03-17
723080,1962,92,1962-04-02
723080,1963,84,1963-03-25
723080,1964,85,1964-03-25
723080,1968,89,1968-03-29
723080,1969,97,1969-04-07
723080,1970,99,1970-04-09
723080,1971,72,1971-03-13
723080,1973,75,1973-03-16
723080,1974,65,1974-03-06
723080,1975,82,1975-03-23
723080,1979,90,1979-03-31
723080,1980,94,1980-04-03
723080,1981,88,1981-03-29
723080,1982,89,1982-03-30
723080,1983,79,1983-03-20
723080,1984,81,1984-03-21
723080,1985,74,1985-03-15
723080,1987,93,1987-04-03
723080,1988,84,1988-03-24
723080,1992,71,1992-03-11
723080,1993,92,1993-04-02
723080,1995,79,1995-03-20
723100,1993,76,1993-03-17
723100,1995,67,1995-03-08
723100,1998,63,1998-03-04
723100,2005,66,2005-03-07
723110,1961,62,1961-03-03
723110,1962,67,1962-03-08
723110,1963,76,1963-03-17
723110,1964,77,1964-03-17
723110,1965,76,1965-03-17
723110,1967,71,1967-03-12
723110,1968,81,1968-03-21
723110,1971,73,1971-03-14
723110,1972,74,1972-03-14
723110,1973,68,1973-03-09
723110,1975,66,1975-03-07
723110,1979,72,1979-03-13
723110,1980,75,1980-03-15
723110,1981,62,1981-03-03
723110,1982,65,1982-03-06
723110,1983,65,1983-03-06
723110,1984,64,1984-03-04
723110,1985,67,1985-03-08
723110,1991,61,1991-03-02
723110,1993,84,1993-03-25
723110,1994,63,1994-03-04
723110,1995,72,1995-03-13
723120,1963,78,1963-03-19
723120,1964,78,1964-03-18
723120,1965,82,1965-03-23
723120,1968,81,1968-03-21
723120,1969,92,1969-04-02
723120,1971,77,1971-03-18
723120,1973,73,1973-03-14
723120,1974,65,1974-03-06
723120,1975,80,1975-03-21
723120,1977,72,1977-03-13
723120,1979,78,1979-03-19
723120,1980,81,1980-03-21
723120,1981,72,1981-03-13
723120,1983,72,1983-03-13
723120,1984,76,1984-03-16
723120,1985,68,1985-03-09
723120,1988,80,1988-03-20
723120,1991,68,1991-03-09
