site,year
724290,1964
726400,1982
722340,1961
724380,1964
722230,1998
726510,1983
726400,1961
724230,1973
722500,1997
725240,1986
723170,1970
722140,1964
724380,1973
722530,1993
724560,1984
724380,2002
724230,1975
725210,1989
722500,1981
723040,1987
725390,1980
725370,1995
726510,1989
723170,1986
723230,1961
726540,1976
725320,1987
725300,1993
724320,1984
725440,1989
725370,1968
723060,1984
725190,1993
725290,1973
725260,1973
726400,1987
725210,1984
724290,1972
725370,1979
726400,1976
725320,1994
727530,1987
725300,1995
725430,1962
725390,1988
724460,1974
723040,1963
723340,1984
724460,1992
727530,1961
725320,1973
723040,1975
724650,1982
724290,1973
725300,1974
725280,1983
722140,1980
724060,1994
726540,1974
725370,1991
723340,1979
725320,1993
723230,1999
724320,1987
726580,1977
725280,1975
725300,2003
726580,1986
723270,1992
722230,1963
724460,1988
722230,1995
724060,1980
726370,1964
726410,1974
724340,1996
723040,1988
724460,1995
722080,2001
725570,1991
725430,1992
724460,1994
725480,1977
726450,1986
727530,1980
723270,1972
724230,1962
722350,1980
725430,1994
723340,1982
723230,1995
725300,1973
725300,1987
723060,1990
724380,2003
725390,1963
725190,1977
722560,1986
722540,1983
722080,1973
722350,1990
724320,1973
722500,1986
725360,1985
726410,1976
724510,1985
725170,1985
725350,1973
723040,1978
725260,1992
725430,1975
724400,1994
725320,1979
725350,1975
723080,1982
722080,1995
725330,1975
723060,1980
723040,1976
723170,1992
726350,1964
722080,1983
722350,1985
725460,1992
724320,1972
724500,1975
724400,1962
727640,1961
724560,1997
724290,1971
726400,1990
724060,1963
722560,1982
722560,1973
724060,1982
725570,1963
725240,1987
725280,1979
726410,1962
725190,1974
724500,1983
725460,1962
725480,1978
724510,1984
727530,1985
725350,1982
722540,1986
723060,1973
726370,1983
723040,1961
724320,1963
722350,1973
725430,1988
725570,1992
725210,1990
726370,1975
725350,1983
726410,1977
725240,1988
726400,1963
722540,1988
726360,1975
722260,1986
726400,1992
724650,1974
723170,1982
726580,1997
727530,1991
726540,1985
726580,1983
722080,1985
724510,1986
722510,1993
722340,1974
722540,1992
724320,1992
722530,1983
722350,1983
722140,1961
723080,1990
722230,1962
726510,1962
722350,1964
726370,1995
725260,1983
722510,1961
726350,2005
724500,1984
725300,1976
725350,1974
724380,1995
723080,1985
724290,1993
724400,1973
725330,1993
722340,1995
724400,1982
725190,1988
725430,1984
722140,1962
726370,1984
722540,1975
725320,1982
722140,1987
723080,1971
723170,1994
725280,1989
722230,1990
725320,1974
726510,1985
724400,1989
722530,1975
723080,1983
722080,1989
725460,1991
724650,1991
726360,1982
724230,2003
725440,1985
724340,1974
724340,1991
724510,1961
722510,1988
724510,1988
725240,1981
725170,1962
724510,1963
725370,1984
722560,1974
724340,1963
724290,1974
727640,1970
726360,1991
725300,1969
725280,1962
724380,1983
724060,1986
726400,1986
724400,1974
722260,1994
723170,1985
725460,1985
724230,1999
725290,1987
725370,1986
724320,1995
722500,1982
724560,1999
725370,1964
724400,1992
722260,1961
724340,1994
723170,1964
725320,1986
725330,1992
722230,2004
725440,1998
725320,1984
726510,1980
722560,1985
725460,1964
727640,1981
725390,2001
723270,1989
722540,1979
723060,1965
724320,1975
724560,1989
725190,1966
723270,1991
722080,1964
724060,1988
725290,1985
722500,1999
722350,1975
722140,1993
725290,1990
726450,1982
726540,1980
723080,1980
725290,1989
722510,1975
726400,1999
726540,1982
722080,1984
725240,1989
726350,2002
726410,1989
725210,1992
725190,1994
725390,1964
725320,1983
725370,1966
724290,1970
726580,1981
722140,1975
725570,1986
723080,1963
722340,1982
725320,1970
724230,1964
722080,1981
725190,1991
724510,1962
724060,1968
723230,1981
725240,1983
724560,1980
725570,1961
723040,1979
726360,2001
725280,1971
723080,1993
726580,1995
725350,1981
723060,1975
725290,1992
725460,1980
725330,1997
725350,1991
724510,1989
725570,1994
725240,1992
726350,1974
722530,1969
724560,1964
725190,1985
723270,1982
725360,1973
726580,1984
726410,1993
722540,1973
722260,1988
724230,1983
725260,1990
723040,1964
723340,1962
724290,1984
725290,1986
723170,1974
726450,1977
722260,1987
725210,1962
725170,1980
725360,1987
