cokey,chkey,prcent,slope_r,slope,hzname,depth,awc,clay,silt,sand,OM,dbthirdbar,th33,th1500,bd,lat,lon
19726639,57641565,50.0,25,35,A,0.0,0.13,13.5,19.5,67.0,0.75,1.52,17.2,8.5,-0.1568,32.462990999999995,-86.709691
19726639,57641566,50.0,25,35,Bt1,8.0,0.15,42.5,29.7,27.8,0.25,1.48,35.0,21.4,-0.3352,32.462990999999995,-86.709691
19726639,57641567,50.0,25,35,Bt2,89.0,0.15,30.0,36.5,33.5,0.1,1.61,25.0,15,-0.2339,32.462990999999995,-86.709691
19726639,57641568,50.0,25,35,C,109.0,0.08,22.5,17.9,59.6,0.0,1.7,20.9,12.9,-0.192,32.462990999999995,-86.709691
19787444,57846824,40.0,1,1,H1,0.0,0.15,11.5,43.2,45.3,5.5,1.43,29.1,14.1,-0.2767,30.787262,-87.712913
19787444,57846822,40.0,1,1,H2,46.0,0.05,5.0,3.0,92.0,1.75,1.6,16.0,6.3,-0.144,30.787262,-87.712913
19787444,57846823,40.0,1,1,H3,137.0,0.09,12.5,12.0,75.5,1.0,1.55,19.3,9.6,-0.1775,30.787262,-87.712913
19802199,57898139,85.0,7,8,H1,0.0,0.08,7.0,9.2,83.8,0.75,1.4,14.1,5.1,-0.127,31.870087,-85.383129
19802199,57898140,85.0,7,8,H2,3.0,0.08,7.0,9.2,83.8,0.75,1.4,14.1,5.1,-0.127,31.870087,-85.383129
19802199,57898141,85.0,7,8,H3,25.0,0.13,26.5,13.5,60.0,0.2,1.5,23.5,16,-0.22,31.870087,-85.383129
19802199,57898142,85.0,7,8,H4,117.0,0.1,15.0,19.1,65.9,0.1,1.53,18.3,9.2,-0.1677,31.870087,-85.383129
19781211,57823615,40.0,25,35,A,0.0,0.13,18.0,15.0,67.0,1.25,1.5,21.8,12.8,-0.203,33.072877000000005,-87.112698
19781211,57823616,40.0,25,35,Bt,38.0,0.1,30.0,10.0,60.0,0.75,1.53,25.7,19.3,-0.2417,33.072877000000005,-87.112698
19651414,57494602,85.0,8,10,A,0.0,0.12,11.0,26.0,63.0,1.25,1.48,17.1,8.3,-0.1562,33.98835,-86.61362199999998
19651414,57494603,85.0,8,10,Bt,13.0,0.1,26.0,18.0,56.0,0.75,1.52,23.2,16.1,-0.2168,33.98835,-86.61362199999998
19651414,57494604,85.0,8,10,BC,76.0,0.11,24.0,14.0,62.0,0.25,1.54,21.7,14.2,-0.2016,33.98835,-86.61362199999998
19797681,57884172,80.0,7,8,H1,0.0,0.13,16.0,18.9,65.1,1.25,1.5,20.9,11.7,-0.194,32.107213,-85.764843
19797681,57884173,80.0,7,8,H2,8.0,0.14,49.0,41.0,10.0,0.25,1.43,35.1,31.3,-0.3367,32.107213,-85.764843
19797681,57884174,80.0,7,8,H3,155.0,0.13,57.5,26.3,16.2,0.1,1.4,22.5,32.7,-0.211,32.107213,-85.764843
19794266,57870603,90.0,3,5,Ap,0.0,0.13,13.5,23.5,63.0,1.0,1.5,18.3,9.3,-0.168,31.691343,-86.68366800000003
19794266,57870604,90.0,3,5,Bt,10.0,0.15,42.5,29.7,27.8,0.25,1.4,35.8,22.2,-0.344,31.691343,-86.68366800000003
19794266,57870605,90.0,3,5,BC,81.0,0.15,28.0,25.0,47.0,0.25,1.5,25.0,17.6,-0.235,31.691343,-86.68366800000003
19794266,57870606,90.0,3,5,C,114.0,0.08,18.0,22.0,60.0,0.0,1.5,20.1,11.4,-0.186,31.691343,-86.68366800000003
19655406,57500717,90.0,1,2,H1,0.0,0.17,21.5,66.9,11.6,1.25,1.45,27.9,12.8,-0.2645,33.737315,-85.897341
19655406,57500718,90.0,1,2,H2,41.0,0.18,23.5,43.6,32.9,0.5,1.4,28.5,13.6,-0.271,33.737315,-85.897341
19655406,57500719,90.0,1,2,H3,140.0,0.08,19.0,69.4,11.6,0.5,1.4,26.9,11.3,-0.255,33.737315,-85.897341
19692059,57574131,85.0,13,15,H1,0.0,0.12,33.0,32.0,35.0,2.0,1.45,25.2,16.6,-0.2375,32.849693,-85.275711
19692059,57574132,85.0,13,15,H2,20.0,0.14,47.5,29.2,23.3,0.5,1.38,37.4,25.1,-0.3602,32.849693,-85.275711
19692059,57574133,85.0,13,15,H3,89.0,0.15,32.0,14.1,53.9,0.5,1.43,25.2,18.7,-0.2377,32.849693,-85.275711
19692059,57574134,85.0,13,15,H4,127.0,0,15.0,25.0,60.0,0.0,1.52,19.2,9.6,-0.1768,32.849693,-85.275711
19645963,57485947,55.0,33,45,H1,0.0,0.16,22.5,37.7,39.8,1.25,1.38,21.7,10.5,-0.2032,34.287561,-85.613443
19645963,57485948,55.0,33,45,H2,33.0,0.15,27.5,52.6,19.9,0.25,1.48,22.6,12.2,-0.2112,34.287561,-85.613443
19645963,57485949,55.0,33,45,H3,76.0,0.14,35.0,47.7,17.3,0.25,1.48,24.6,15.4,-0.2312,34.287561,-85.613443
19785721,57840819,90.0,1,2,H1,0.0,0.13,12.5,41.8,45.7,3.5,1.48,27.4,12.1,-0.2592,32.899478,-86.625823
19785721,57840820,90.0,1,2,H2,20.0,0.18,26.5,50.0,23.5,1.0,1.4,30.4,16,-0.29,32.899478,-86.625823
19785721,57840821,90.0,1,2,H3,102.0,0.12,18.0,19.0,63.0,0.1,1.35,18.3,9.5,-0.1695,32.899478,-86.625823
19786703,57844146,40.0,1,3,A,0.0,0.2,34.0,48.7,17.3,2.0,1.38,33.6,21.2,-0.3222,32.040698,-88.123521
19786703,57844147,40.0,1,3,Bw,10.0,0.17,44.0,49.0,7.0,0.5,1.37,31.8,24.1,-0.3043,32.040698,-88.123521
19786703,57844148,40.0,1,3,Bg,36.0,0.17,47.0,39.0,14.0,0.4,1.48,36.7,26.2,-0.3522,32.040698,-88.123521
19786703,57844149,40.0,1,3,Bssg,76.0,0.17,45.0,36.0,19.0,0.25,1.48,36.3,25,-0.3482,32.040698,-88.123521
19787287,57846365,60.0,20,35,Ap,0.0,0.1,7.0,9.2,83.8,0.75,1.58,15.7,6.1,-0.1412,31.503533,-87.897075
19787287,57846363,60.0,20,35,E,25.0,0.08,7.0,9.2,83.8,0.1,1.66,14.4,5.2,-0.1274,31.503533,-87.897075
19787287,57846364,60.0,20,35,Bt,140.0,0.14,17.0,21.0,62.0,0.1,1.6,20.5,11.5,-0.189,31.503533,-87.897075
19687791,57565804,50.0,1,2,H1,0.0,0.2,22.5,52.7,24.8,2.5,1.45,30.2,16.1,-0.2875,33.287869,-85.857325
19687791,57565803,50.0,1,2,H2,15.0,0.2,26.5,50.0,23.5,1.25,1.4,30.3,16.2,-0.289,33.287869,-85.857325
19687449,57565164,35.0,1,2,H1,0.0,0.2,18.5,38.5,43.0,1.25,1.45,27.8,12.4,-0.2635,33.650912,-85.546255
19687449,57565165,35.0,1,2,H2,15.0,0.19,26.5,17.7,55.8,0.75,1.3,29.5,14.7,-0.282,33.650912,-85.546255
19687449,57565166,35.0,1,2,H3,99.0,0.09,11.0,1.4,87.6,0.75,1.35,17.4,7.6,-0.1605,33.650912,-85.546255
19802154,57898025,40.0,13,20,H1,0.0,0.07,7.0,9.2,83.8,0.75,1.5,15.3,5.8,-0.138,31.391649,-85.982017
19802154,57898026,40.0,13,20,H2,145.0,0.12,25.0,14.0,61.0,0.1,1.5,23.8,15.7,-0.223,31.391649,-85.982017
19643135,57481700,50.0,5,8,A,0.0,0.19,21.0,53.0,26.0,1.25,1.37,26.6,12.3,-0.2523,34.705301,-87.665584
19643135,57481698,50.0,5,8,Bt1,15.0,0.08,48.0,42.0,10.0,0.25,1.47,31.0,24.9,-0.2953,34.705301,-87.665584
19643135,57481699,50.0,5,8,Bt2,46.0,0.14,48.0,29.0,23.0,0.1,1.46,34.9,24.7,-0.3344,34.705301,-87.665584
19791589,57861125,55.0,17,25,E,18.0,0.1,7.0,9.2,83.8,0.75,1.64,15.3,6.1,-0.1366,31.442416,-86.953561
19791589,57861123,55.0,17,25,Bt,157.0,0.12,25.0,18.0,57.0,0.0,1.67,24.1,16.7,-0.2243,31.442416,-86.953561
19688471,57566967,60.0,22,30,Ap,0.0,0.13,12.8,23.0,64.2,1.25,1.56,19.2,10.2,-0.1764,32.908484,-86.31828399999998
19688471,57566971,60.0,22,30,BE,10.0,0.14,29.0,23.7,47.3,0.25,1.54,25.2,18.3,-0.2366,32.908484,-86.31828399999998
19688471,57566972,60.0,22,30,Bt,25.0,0.15,44.4,14.5,41.1,0.25,1.52,33.9,23.8,-0.3238,32.908484,-86.31828399999998
19688471,57566968,60.0,22,30,BC,58.0,0.12,34.5,14.2,51.3,0.25,1.5,28.1,22.1,-0.266,32.908484,-86.31828399999998
19688471,57566969,60.0,22,30,C/B,71.0,0.12,27.2,14.5,58.3,0.25,1.59,25.9,18.5,-0.2431,32.908484,-86.31828399999998
19688471,57566970,60.0,22,30,C,102.0,0.12,17.1,11.5,71.4,0.1,1.63,21.2,11.9,-0.1957,32.908484,-86.31828399999998
19797613,57884005,50.0,4,5,H1,0.0,0.11,6.5,9.2,84.3,0.25,1.48,13.3,4.5,-0.1182,31.316068,-86.45407900000002
19797613,57884006,50.0,4,5,H2,15.0,0.12,20.0,18.8,61.2,0.25,1.4,20.8,11.8,-0.194,31.316068,-86.45407900000002
19797613,57884007,50.0,4,5,H3,46.0,0.13,32.5,14.0,53.5,0.25,1.4,25.8,18.9,-0.244,31.316068,-86.45407900000002
19797613,57884008,50.0,4,5,H4,71.0,0.1,26.5,13.5,60.0,0.25,1.6,24.1,17,-0.225,31.316068,-86.45407900000002
19796737,57880673,40.0,1,1,A,0.0,0.15,28.3,24.2,47.5,1.5,1.52,26.3,19.6,-0.2478,31.688872,-86.30444200000002
