site,year,temp,temp_var,rh,rh_var,vpd,precip,precip_var,solrad,solrad_var
724290,1964,17.47,4.184319758488908,65.71,4.857886344074361,0.69,577.9,0.000988851634251579,220.09,366.6406844579427
726400,1982,13.22,6.282663288330574,69.12,4.51037665026445,0.47,546.1,0.0011596689952170587,205.62,344.1642057432089
722340,1961,21.1,2.0876553663741713,77.59,5.4665693728595395,0.57,845.2,0.0016687258078266786,226.2,378.0086498132625
724380,1964,17.67,4.173953621664824,68.14,4.588453169492627,0.65,651.4,0.001292908658498708,217.3,360.63655928779195
722230,1998,23.48,1.9069030423218967,79.4,4.269086973710126,0.61,1388.8,0.0031251880808641466,237.08,403.69797076702986
726510,1983,15.17,7.573566357192316,75.22,4.7812213581327585,0.43,556.6,0.0011378538227379618,213.71,343.96252258033513
726400,1961,13.82,5.8347421776679536,72.61,3.9845585171947295,0.44,643.8,0.0013743660381575417,219.31,364.823906129567
724230,1973,19.62,2.770589006220112,70.19,3.5137488125003578,0.69,940.0,0.0021096928443274077,213.59,349.0252339467201
722500,1997,25.62,0.9529436667725782,79.55,3.0779372824267703,0.69,515.8,0.003897145776648107,234.54,403.7216920050893
725240,1986,16.24,4.674444856713942,70.04,4.77815832828095,0.56,682.7,0.00152009546421657,213.97,355.00253365741804
723170,1970,20.02,2.86931315297398,70.55,5.478858780623815,0.7,691.1,0.0020875721415072167,228.66,375.7188526515331
722140,1964,23.31,1.3969088244393404,74.89,5.3514911263577085,0.73,1433.4,0.003850578094106526,228.62,388.53931057754465
724380,1973,18.08,3.282907707797123,73.22,4.165559660884509,0.56,711.15,0.0013028741289075293,215.36,356.2382947502633
722530,1993,24.54,1.8413942063953899,65.17,6.399544743759192,1.09,583.0,0.0031259325205866954,235.24,407.61627113307
724560,1984,17.69,5.287431063538878,68.21,5.031039927162783,0.65,750.4,0.00216293317457586,228.51,373.7646791810252
724380,2002,18.24,4.590149122962439,73.19,4.607362788367781,0.57,694.1,0.0012733567700177592,212.33,355.48717209387024
